,Name,RegNo,Gender,8956-Place,8956-Points,8811-Place,8811-Points,8902-Place,8902-Points,8925-Place,8925-Points,8810-Place,8810-Points,Best3-Points,place
0,Kaiser Markéta,ZBM9456,F,,,,,1.,200,2.,190,2.,190,580,1
1,Matulová Lucie,ADA8880,F,3.,182,2.,190,19.,157,,,4.,176,548,2
2,Hlavová Hana,TBM8888,F,,,3.,182,6.,170,3.,182,8.,168,534,3
3,Sladká Magdalena,PBM8450,F,8.,168,8.,168,,,6.,170,20.,156,506,4
4,Smítalová Jana,ZBM8053,F,9.,167,9.,167,31.,145,,,15.,161,495,5
5,Kozmonová Helena,PBM8751,F,11.,165,10.,166,36.,140,DISK,0,13.,163,494,6
6,Bártová Petra,RBK8252,F,,,,,23.,153,7.,169,11.,165,487,7
7,Kočová Lenka,ZBM8160,F,14.,162,,,37.,139,10.,166,18.,158,486,8
8,Křístková Veronika,ZBM8379,F,13.,163,12.,164,30.,146,,,20.,156,483,9
9,Linhartová Iva,ZBM9051,F,18.,158,11.,165,35.,141,17.,159,40.,136,482,10
10,Fedrová Anežka,RBK0853,F,6.,170,,,26.,150,18.,158,,,478,11
11,Chloupková Barbora,VBM8455,F,,,6.,170,21.,155,,,25.,151,476,12
12,Trtílková Hana,VBM8051,F,19.,157,14.,162,43.,133,,,30.,146,465,13
13,Trávníčková Silvie,ADA8551,F,,,20.,156,,,15.,161,34.,142,459,14
14,Jégrová Kateřina,0030001,M,,,26.,150,50.,126,20.,156,36.,140,446,15
15,Spáčilová Veronika,0060002,F,27.,149,32.,144,69.,107,27.,149,55.,121,442,16
16,Malá Alice,TBM7991,F,,,17.,159,42.,134,,,29.,147,440,17
17,Beránková Šárka,ZBM7356,F,28.,148,31.,145,63.,113,29.,147,54.,122,440,17
18,Tomanová Veronika,LBM7751,F,24.,152,22.,154,65.,111,,,44.,132,438,19
19,Košíková Jana,PBM8352,F,,,24.,152,64.,112,26.,150,46.,130,432,20
20,Štefanová Markéta,0050009,F,,,25.,151,48.,128,25.,151,,,430,21
21,Králová Olga,BBM8750,F,,,15.,161,52.,124,,,37.,139,424,22
22,Vršanová Mína,0050007,F,,,28.,148,,,30.,146,57.,119,413,23
23,Obrátilová Naďa,ABM6654,F,26.,150,29.,147,68.,108,,,,,405,24
24,Přikrylová Lenka,0120001,M,17.,159,,,45.,131,,,62.,114,404,25
