,Name,RegNo,8385-Place,8385-Points,8384-Place,8384-Points,8053-Place,8053-Points,8188-Place,8188-Points,8092-Place,8092-Points,8051-Place,8051-Points,8052-Place,8052-Points,Best4-Points
0,Kaiser Markéta,ZBM9456,2.,190,1.,200,1.,200,1.,200,,,2.,190,1.,200,800
1,Matulová Lucie,ADA8880,,,5.,172,14.,162,11.,165,2.,190,3.,182,4.,176,720
2,Dobrovolná Anna,TBM0758,,,34.,142,,,8.,168,3.,182,,,3.,182,674
3,Marková Eva,ZBM0954,,,,,18.,158,16.,160,5.,172,6.,170,10.,166,668
4,Sladká Magdalena,PBM8450,5.,172,15.,161,39.,137,,,6.,170,25.,151,14.,162,665
5,Bártová Petra,RBK8252,8.,168,13.,163,26.,150,,,,,8.,168,17.,159,658
6,La Carbonara Hana,TBM7652,7.,169,8.,168,21.,155,,,,,,,18.,158,650
7,Tomíčková Dana,TBM8062,,,,,17.,159,26.,150,4.,176,,,12.,164,649
8,Smítalová Jana,ZBM8053,,,9.,167,22.,154,22.,154,13.,163,,,14.,162,646
9,Kočová Klára,ZBM0850,,,7.,169,,,18.,158,14.,162,19.,157,24.,152,646
10,Kozmonová Helena,PBM8751,16.,160,21.,155,29.,147,30.,146,10.,166,37.,139,21.,155,636
11,Fučíková Hana,VBM7751,30.,146,,,23.,153,21.,155,7.,169,18.,158,,,635
12,Křístková Veronika,ZBM8379,14.,162,19.,157,43.,133,24.,152,16.,160,22.,154,25.,151,633
13,Kočová Lenka,ZBM8160,21.,155,25.,151,31.,145,,,11.,165,,,27.,149,620
14,Malá Alice,TBM7991,9.,167,42.,134,,,,,,,26.,150,16.,160,611
15,Růžičková Zuzana,VBM9353,11.,165,20.,156,36.,140,43.,133,34.,142,DISK,0,29.,147,610
16,Václavková Petra,ZBM7553,12.,164,30.,146,44.,132,40.,136,20.,156,33.,143,DISK,0,609
17,Finstrlová Lucie,ZBM0651,DISK,0,51.,125,31.,145,DISK,0,8.,168,,,20.,156,594
18,Dvořáková Hana,ZBM8676,,,28.,148,,,,,24.,152,23.,153,36.,140,593
19,Vrbková Adéla,TBM0851,,,,,37.,139,25.,151,26.,150,27.,149,,,589
20,Jágrová Vlasta,SBK7789,17.,159,25.,151,,,36.,140,,,,,38.,138,588
21,Dohnalová Květa,ZBM7954,,,24.,152,48.,128,,,35.,141,34.,142,34.,142,577
22,Obrátilová Naďa,ABM6654,15.,161,,,60.,116,48.,128,36.,140,35.,141,46.,130,572
23,Tomanová Veronika,LBM7751,,,38.,138,58.,118,31.,145,,,28.,148,41.,135,566
24,Jégrová Eliška,0070002,19.,157,32.,144,54.,122,,,,,35.,141,,,564
25,Eliášková Hana,LBM8051,25.,151,46.,130,,,35.,141,DISK,0,46.,130,42.,134,556
26,Trtílková Hana,VBM8051,,,29.,147,40.,136,32.,144,DISK,0,,,47.,129,556
27,Štefanová Markéta,0080004,18.,158,,,55.,121,,,DISK,0,45.,131,32.,144,554
28,Jégrová Kateřina,0070001,22.,154,40.,136,59.,117,,,,,29.,147,,,554
29,Fedrová Anežka,RBK0853,,,4.,176,,,5.,172,1.,200,,,,,548
30,Beránková Šárka,ZBM7356,,,47.,129,68.,108,39.,137,39.,137,39.,137,56.,120,540
31,Čelechovská Zora,UBM7451,33.,143,36.,140,64.,112,,,,,32.,144,,,539
32,Horsáková Barbora,0080006,35.,141,44.,132,,,47.,129,,,40.,136,48.,128,538
33,Barbora Zháňalová,ZBM9354,,,2.,190,5.,172,,,,,,,5.,172,534
