,Name,RegNo,Sex,9518-Place,9518-Points,9519-Place,9519-Points,9517-Place,9517-Points,9656-Place,9656-Points,9690-Place,9690-Points,Best3-Points,place
0,Koča František,ZBM1100,M,1.,200,1.,200,2.,190,1.,200,2.,190,600,1
1,Smítal Vendelín,ZBM1203,M,2.,190,3.,182,1.,200,,,1.,200,590,2
2,Hikl Martin,ZBM1104,M,,,2.,190,4.,176,,,6.,170,536,3
3,Šedivá Kristýna,VBM1252,F,6.,170,4.,176,,,2.,190,9.,167,536,3
4,Sedláček Martin,TBM1212,M,3.,182,,,6.,170,,,5.,172,524,5
5,Kozmon Lukáš,PBM1301,M,4.,176,,,10.,166,6.,170,7.,169,515,6
6,Dohnalová Eliška,ZBM1253,F,10.,166,5.,172,7.,169,7.,169,8.,168,510,7
7,Urválková Anna,TBM1177,F,,,7.,169,,,5.,172,15.,161,502,8
8,Chaloupková Klára,ZBM1260,F,15.,161,6.,170,8.,168,,,,,499,9
9,Fučíková Ema,VBM1151,F,14.,162,,,11.,165,12.,164,12.,164,493,10
10,Dvořáková Dita,ZBM1158,F,,,10.,166,12.,164,25.,151,25.,151,481,11
11,Pala Barbora,PBM1355,F,26.,150,9.,167,24.,152,21.,155,20.,156,478,12
12,Smítalová Meda,ZBM1356,F,17.,159,DISK,0,18.,158,19.,157,DISK,0,474,13
13,Chloupek Filip,VBM1301,M,34.,142,8.,168,14.,162,,,,,472,14
14,Pala Tereza,PBM1557,F,21.,155,14.,162,21.,155,DISK,0,,,472,14
15,Kozmonová Sára,PBM1552,F,27.,149,,,20.,156,15.,161,22.,154,471,16
16,Jašek Vít,ABR1111,M,25.,151,,,15.,161,20.,156,,,468,17
17,Eschler Martin,UBM1402,M,,,16.,160,13.,163,31.,145,DISK,0,468,17
18,Matulová Markéta,PBM1554,F,18.,158,,,19.,157,29.,147,,,462,19
19,Šilar Martin,UBM1101,M,29.,147,,,16.,160,,,23.,153,460,20
20,Zapletal František,ZBM1413,M,33.,143,19.,157,22.,154,,,,,454,21
21,Veselý Josef,ZBM1111,M,,,,,3.,182,,,4.,176,358,22
22,Uchytil Ivo,SJI1203,M,5.,172,,,5.,172,,,,,344,23
23,Belton Jakub,RBK1102,M,9.,167,,,,,4.,176,,,343,24
24,Schwabová Barbora,TBM1188,F,13.,163,,,,,,,10.,166,329,25
25,Šťastná Vendula,TBM1384,F,8.,168,,,,,,,16.,160,328,26
26,Kříž Jan,TTR1201,M,7.,169,,,,,,,18.,158,327,27
27,Rajnošek Jan,ZBM1409,M,,,,,,,11.,165,17.,159,324,28
28,Marková Lucie,ZBM1351,F,,,,,DISK,0,9.,167,21.,155,322,29
29,Chloupková Kristýna,VBM1152,F,,,15.,161,17.,159,,,,,320,30
30,Sychrová Hana,VBM1352,F,22.,154,17.,159,,,,,DISK,0,313,31
31,Bárta Vítězslav,RBK1501,M,,,,,,,17.,159,24.,152,311,32
32,Janda Kryštof,ZBM1309,M,28.,148,,,DISK,0,14.,162,,,310,33
33,Redlichová Kateřina,RBK1351,F,32.,144,,,,,13.,163,,,307,34
34,Honzírek Matouš,ZBM1106,M,,,,,30.,146,18.,158,,,304,35
35,Balcarová Zora,ZBM1359,F,36.,140,,,,,,,19.,157,297,36
36,Stachoň Štěpán,ZBM1212,M,,,,,,,32.,144,27.,149,293,37
37,Zámečníková Marie,RBK1553,F,39.,137,21.,155,,,,,,,292,38
38,Křížová Anna,TTR1451,F,38.,138,,,,,,,28.,148,286,39
39,Sychrová Markéta,VBM1251,F,46.,130,24.,152,,,,,DISK,0,282,40
40,Bárta Zbyněk,RBK1301,M,,,,,,,3.,182,DISK,0,182,41
41,Vašek Mikuláš,TBM1115,M,,,,,,,,,3.,182,182,41
42,Daňková Viktorie,RBK1353,F,,,,,,,8.,168,,,168,43
43,Nováček Kryštof,ZBM1207,M,,,,,9.,167,,,,,167,44
44,Janováč Marek,RBK1302,M,,,,,,,10.,166,,,166,45
45,Tesař Antonín,PBM1609,M,,,11.,165,,,,,,,165,46
46,Ryglová Beata,TBM1158,F,,,,,,,,,11.,165,165,46
47,Votava Jan,0010003,M,11.,165,,,,,,,,,165,46
48,Tesařová Štěpánka,PBM1258,F,,,12.,164,,,,,,,164,49
